date,user_id,gender,training_load,apple_sleep_score,sleep_duration_hours,sleep_efficiency,fatigue_hooper,soreness_hooper,stress_hooper,sleep_hooper,hrv_trend,restorative_ratio,nutrition,gi_symptoms,alcohol_consumed,late_caffeine,screen_before_bed,late_meal,is_sick,is_injured
2025-08-04,standard_user,男,低,88.0,,,4,4,3,4,stable,0.714,adequate,none,False,False,False,False,False,False
2025-08-05,standard_user,男,低,80.0,,,3,3,3,4,rising,0.868,adequate,none,False,False,False,False,False,False
2025-08-06,standard_user,男,中,,6.7,0.788,2,3,3,5,stable,0.879,inadequate_mild,none,False,False,True,False,False,False
2025-08-07,standard_user,男,低,,8.4,0.867,2,2,4,4,stable,0.842,adequate,none,False,False,False,False,True,False
2025-08-08,standard_user,男,中,66.0,,,4,1,1,4,slight_decline,0.751,adequate,none,False,False,True,True,False,False
2025-08-09,standard_user,男,低,72.0,,,2,3,1,3,rising,0.826,inadequate_mild,none,False,False,False,False,False,False
2025-08-10,standard_user,男,低,66.0,,,5,1,2,3,stable,0.686,adequate,none,False,False,False,False,True,False
2025-08-11,standard_user,男,低,87.0,,,1,2,3,3,slight_decline,0.775,inadequate_mild,none,False,False,True,False,False,False
2025-08-12,standard_user,男,高,76.0,,,4,1,4,4,slight_decline,0.765,adequate,mild,True,True,False,False,False,False
2025-08-13,standard_user,男,低,,8.2,0.848,1,3,1,3,slight_decline,0.8,adequate,none,False,False,False,False,False,False
2025-08-14,standard_user,男,中,64.0,,,2,3,4,5,stable,0.837,inadequate_mild,none,False,False,True,False,False,False
2025-08-15,standard_user,男,中,,7.8,0.842,4,1,2,4,slight_decline,0.825,adequate,none,False,False,False,False,False,False
2025-08-16,standard_user,男,中,78.0,,,2,3,1,5,rising,0.878,adequate,mild,False,False,True,False,False,False
2025-08-17,standard_user,男,中,93.0,,,4,2,4,3,slight_decline,0.862,inadequate_mild,none,False,False,False,False,False,False
2025-08-18,standard_user,男,高,,7.1,0.801,5,4,2,5,slight_decline,0.726,inadequate_mild,mild,False,False,True,False,False,False
2025-08-19,standard_user,男,中,,6.6,0.877,4,4,2,5,rising,0.766,inadequate_mild,none,False,False,False,False,False,False
2025-08-20,standard_user,男,低,67.0,,,1,4,3,4,slight_decline,0.846,inadequate_mild,mild,False,False,False,False,False,False
2025-08-21,standard_user,男,中,76.0,,,2,1,4,2,rising,0.688,adequate,none,True,False,True,False,False,False
2025-08-22,standard_user,男,中,69.0,,,2,2,1,5,stable,0.86,adequate,none,False,False,True,True,False,False
2025-08-23,standard_user,男,高,73.0,,,1,4,3,4,slight_decline,0.755,adequate,none,False,False,True,False,False,False
2025-08-24,standard_user,男,高,64.0,,,4,3,1,2,slight_decline,0.828,adequate,none,False,True,True,False,False,False
2025-08-25,standard_user,男,中,64.0,,,1,3,4,2,stable,0.671,adequate,none,False,True,True,False,False,False
2025-08-26,standard_user,男,低,,8.2,0.794,4,3,3,2,slight_decline,0.682,adequate,mild,False,False,False,False,True,False
2025-08-27,standard_user,男,中,74.0,,,5,4,3,2,stable,0.656,inadequate_mild,none,False,False,True,False,False,False
2025-08-28,standard_user,男,低,66.0,,,1,1,3,5,rising,0.704,inadequate_mild,none,False,False,False,False,False,False
2025-08-29,standard_user,男,中,,8.3,0.861,4,4,3,2,stable,0.752,adequate,none,True,False,False,False,False,False
